image_id,relative_path,filename,stem,extension,file_size_bytes,sha256,readable,width,height,mode,annotation_relative_path,annotation_match_method,n_annotation_candidates,image_error
1,1-coins/100_1477154436.jpg,100_1477154436.jpg,100_1477154436,.jpg,41623,0e80f2f3aeef04112cef2817bc4adc9f3ba20fb394bcc1ed7ada3e3e49c447c4,True,640,480,RGB,1-coins/100_1477154436.json,labelme_imagePath,1,
2,1-coins/100_1477154442.jpg,100_1477154442.jpg,100_1477154442,.jpg,40409,196fd9e9ab6b8b248ec2d4e95307be3346942e3049a41511026daebd4d6860b1,True,640,480,RGB,1-coins/100_1477154442.json,labelme_imagePath,1,
3,1-coins/100_1477154448.jpg,100_1477154448.jpg,100_1477154448,.jpg,40894,8760ef552e8f79852628f1b729435a6f072f06d6ac7644077a2dc0f3f47efcd8,True,640,480,RGB,1-coins/100_1477154448.json,labelme_imagePath,1,
4,1-coins/100_1477154454.jpg,100_1477154454.jpg,100_1477154454,.jpg,41018,a0637698e042920545f045490940a4ec5fcd021a1d7ba298f5158aca7528f5a1,True,640,480,RGB,1-coins/100_1477154454.json,labelme_imagePath,1,
5,1-coins/100_1477154460.jpg,100_1477154460.jpg,100_1477154460,.jpg,40491,316ad5e3e8d488e0dfe7e7957b5093d80e73bc994489b65e9fbfdcc1f978ef33,True,640,480,RGB,1-coins/100_1477154460.json,labelme_imagePath,1,
6,1-coins/100_1477154466.jpg,100_1477154466.jpg,100_1477154466,.jpg,40755,97aaebcbc0a13c71c06ba1b4836ea10c9c0d5b289e4bb6df2810566d935fc14a,True,640,480,RGB,1-coins/100_1477154466.json,labelme_imagePath,1,
7,1-coins/100_1477154472.jpg,100_1477154472.jpg,100_1477154472,.jpg,39805,9b723b33c96b8644d76ccfdbc62346493900b6f160ee07cba592abbf5939606c,True,640,480,RGB,1-coins/100_1477154472.json,labelme_imagePath,1,
8,1-coins/100_1477154478.jpg,100_1477154478.jpg,100_1477154478,.jpg,40647,8ee92f9cdf9fa7152352c0387227aa97f4380598ea2cbe10adf5d94ffad3a890,True,640,480,RGB,1-coins/100_1477154478.json,labelme_imagePath,1,
9,1-coins/100_1477154484.jpg,100_1477154484.jpg,100_1477154484,.jpg,41798,541454e5f22f092ad87dab313a8d993b376f3c5f509480e5ad462097389f6711,True,640,480,RGB,1-coins/100_1477154484.json,labelme_imagePath,1,
10,1-coins/100_1477154490.jpg,100_1477154490.jpg,100_1477154490,.jpg,41435,aec0e57270faf45bfb6667b2a6b5facb032a797923f96fa67160541d53d785ce,True,640,480,RGB,1-coins/100_1477154490.json,labelme_imagePath,1,
11,1-coins/100_1477154496.jpg,100_1477154496.jpg,100_1477154496,.jpg,39985,842008da40be43963b53a8126d8010d34388d82550da9292fd5728978271df39,True,640,480,RGB,1-coins/100_1477154496.json,labelme_imagePath,1,
12,1-coins/100_1477154502.jpg,100_1477154502.jpg,100_1477154502,.jpg,39645,4683beacb8a0427d921ace78f28ea992f62c6b4cd082924720f23661aeb02ff4,True,640,480,RGB,1-coins/100_1477154502.json,labelme_imagePath,1,
13,1-coins/100_1477154508.jpg,100_1477154508.jpg,100_1477154508,.jpg,40123,a5c5bae02d74a546ceaefadf95623d343b6c15ccc3a67af09cd1154aa74a901f,True,640,480,RGB,1-coins/100_1477154508.json,labelme_imagePath,1,
14,1-coins/100_1477154514.jpg,100_1477154514.jpg,100_1477154514,.jpg,39493,4ad24c52ca322f237f7085f5bf75d7e6160243099204411baf8786641c8a027d,True,640,480,RGB,1-coins/100_1477154514.json,labelme_imagePath,1,
15,1-coins/100_1477154520.jpg,100_1477154520.jpg,100_1477154520,.jpg,40927,a8ede98c1db7416864c730b22db3af0477cf61238a88ff4c91b237a529c9fa7c,True,640,480,RGB,1-coins/100_1477154520.json,labelme_imagePath,1,
16,1-coins/100_1477154526.jpg,100_1477154526.jpg,100_1477154526,.jpg,40946,4d44001d3b2df9d4ccc4a25cf32a01edbfee97e5101bd00e230feff0be9b55b2,True,640,480,RGB,1-coins/100_1477154526.json,labelme_imagePath,1,
17,1-coins/100_1477154532.jpg,100_1477154532.jpg,100_1477154532,.jpg,40962,8dccd90e261111da0fb63a8598bc6daf6df1af892fa57501f26df9d8a7de13b4,True,640,480,RGB,1-coins/100_1477154532.json,labelme_imagePath,1,
18,1-coins/100_1477154538.jpg,100_1477154538.jpg,100_1477154538,.jpg,40568,a3dd67722050088602c33abc3eb958e672bfd7f10b89ccfb942f8978a89860bc,True,640,480,RGB,1-coins/100_1477154538.json,labelme_imagePath,1,
19,1-coins/100_1477154550.jpg,100_1477154550.jpg,100_1477154550,.jpg,41151,debc025f67f74236ee20c58066ea433eaddc9f6a241b02bf0b1bfca98858bb79,True,640,480,RGB,1-coins/100_1477154550.json,labelme_imagePath,1,
20,1-coins/100_1477154556.jpg,100_1477154556.jpg,100_1477154556,.jpg,40762,548ad6ae7eecbfa2c164121948cc267e7b51ec65a3f645beba8726c1d8ecdf97,True,640,480,RGB,1-coins/100_1477154556.json,labelme_imagePath,1,
21,1-coins/100_1477154562.jpg,100_1477154562.jpg,100_1477154562,.jpg,39162,2938b8ce73f323dab5146ab929d94e32b2a74cc7a3669c9c480ac058caf63072,True,640,480,RGB,1-coins/100_1477154562.json,labelme_imagePath,1,
22,1-coins/100_1477154568.jpg,100_1477154568.jpg,100_1477154568,.jpg,39648,23a5e2be0d1ec932c0dd307cd9653f13a3885b5212cced1ae1ecc7d04baeeac7,True,640,480,RGB,1-coins/100_1477154568.json,labelme_imagePath,1,
23,1-coins/100_1477154574.jpg,100_1477154574.jpg,100_1477154574,.jpg,38867,eb488482adde7accef17fe638ef73595b432f8d930b112d756cda4956225d0e1,True,640,480,RGB,1-coins/100_1477154574.json,labelme_imagePath,1,
24,1-coins/100_1477154580.jpg,100_1477154580.jpg,100_1477154580,.jpg,39235,df9cd2f85cf0f8620517f4cfcfb2698d2bb6cc5de7c3ae8940193e35b6e33041,True,640,480,RGB,1-coins/100_1477154580.json,labelme_imagePath,1,
25,1-coins/100_1477154586.jpg,100_1477154586.jpg,100_1477154586,.jpg,41145,8dc2f4267e20cb65523ba9600e32e20b8df881f19e35ff54fe2e868b61c154d6,True,640,480,RGB,1-coins/100_1477154586.json,labelme_imagePath,1,
26,1-coins/100_1477154592.jpg,100_1477154592.jpg,100_1477154592,.jpg,42223,5337c4b842d7683e146afa4772881cd0982462f13e967f15e14bfcb6e649044f,True,640,480,RGB,1-coins/100_1477154592.json,labelme_imagePath,1,
27,1-coins/100_1477154598.jpg,100_1477154598.jpg,100_1477154598,.jpg,39352,76ccca6d42f60f79346dfeba79f64d34292a312621194e92f046449db577f9d0,True,640,480,RGB,1-coins/100_1477154598.json,labelme_imagePath,1,
28,1-coins/100_1477154604.jpg,100_1477154604.jpg,100_1477154604,.jpg,39306,7d704ad7110c761f4e142a728d6c2827f6c3d4cacbb783d92fff53afb4ceb8a1,True,640,480,RGB,1-coins/100_1477154604.json,labelme_imagePath,1,
29,1-coins/100_1477154610.jpg,100_1477154610.jpg,100_1477154610,.jpg,39434,304bdf98ffeb169e9b97766e63e18494acbaf86475028a740fddb6ebe27f8218,True,640,480,RGB,1-coins/100_1477154610.json,labelme_imagePath,1,
30,1-coins/100_1477154622.jpg,100_1477154622.jpg,100_1477154622,.jpg,38442,28899939ef154c793881f5ce53665bb753957fb8d57bc357407c739c4a4de3e3,True,640,480,RGB,1-coins/100_1477154622.json,labelme_imagePath,1,
31,1-coins/100_1477154628.jpg,100_1477154628.jpg,100_1477154628,.jpg,40043,4d796f1f6bbfb3d385f866178f1aaa696e2eaf9bc2871faebf66e4015d21fc84,True,640,480,RGB,1-coins/100_1477154628.json,labelme_imagePath,1,
32,1-coins/100_1477154634.jpg,100_1477154634.jpg,100_1477154634,.jpg,39664,afd61e9fda00a434d1c491bf4f0596501e835bca8938424bc89222d036aa8e3c,True,640,480,RGB,1-coins/100_1477154634.json,labelme_imagePath,1,
33,1-coins/100_1477154640.jpg,100_1477154640.jpg,100_1477154640,.jpg,39804,cda02c064b3e745c33a3a09b858a331aa8951492407734af7abc27e00693e6cf,True,640,480,RGB,1-coins/100_1477154640.json,labelme_imagePath,1,
34,1-coins/100_1477154646.jpg,100_1477154646.jpg,100_1477154646,.jpg,39622,c2d60184a9b61790de0e0521342f6883e72c7a3a4bce1df61a563a11dcbe860c,True,640,480,RGB,1-coins/100_1477154646.json,labelme_imagePath,1,
35,1-coins/100_1477154652.jpg,100_1477154652.jpg,100_1477154652,.jpg,39657,232ca59974981a4d96dcb019c0f09637c0f33bbca7561fcc3658596500e9ecde,True,640,480,RGB,1-coins/100_1477154652.json,labelme_imagePath,1,
36,1-coins/100_1477154658.jpg,100_1477154658.jpg,100_1477154658,.jpg,40024,947de25f4eeb576e7275e95da14ddbef930b9045775b951500c1cadf2cc713b8,True,640,480,RGB,1-coins/100_1477154658.json,labelme_imagePath,1,
37,1-coins/100_1477154664.jpg,100_1477154664.jpg,100_1477154664,.jpg,39947,1c9c96d5dcb3a05f2a9fab347ea1d3326dc95e4f5503881d8c49a65ee0432573,True,640,480,RGB,1-coins/100_1477154664.json,labelme_imagePath,1,
38,1-coins/100_1477154670.jpg,100_1477154670.jpg,100_1477154670,.jpg,39093,9e4897bb49c84b2d6656689a28401e134d2ec744a80a78f6888f0147f83463b2,True,640,480,RGB,1-coins/100_1477154670.json,labelme_imagePath,1,
39,1-coins/100_1477154676.jpg,100_1477154676.jpg,100_1477154676,.jpg,39185,d4c1aa095f59dad95855dde18c37a489fe37b0e3b42f8c400dd29a33348cb5b8,True,640,480,RGB,1-coins/100_1477154676.json,labelme_imagePath,1,
40,1-coins/100_1477154682.jpg,100_1477154682.jpg,100_1477154682,.jpg,39827,63fb9d5d86ba5134780581536fade761426640a7972b52f1df9b9e9171a67dd0,True,640,480,RGB,1-coins/100_1477154682.json,labelme_imagePath,1,
41,1-coins/100_1477154688.jpg,100_1477154688.jpg,100_1477154688,.jpg,41408,9b35c3dcab9c7436024d7c81dc0732c5bd255e28c3410d91e630f350768fc3b6,True,640,480,RGB,1-coins/100_1477154688.json,labelme_imagePath,1,
