annotation_id,relative_path,annotation_relative_path,shape_index,label,shape_type,n_points,points_json,image_width,image_height,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,shape_area,bbox_area,bbox_area_ratio,max_point_boundary_excess_px,circle_extends_beyond_frame
1-coins/100_1477154436.jpg::shape-0,1-coins/100_1477154436.jpg,1-coins/100_1477154436.json,0,100,circle,2,"[[266.978102189781, 248.17518248175182], [228.2919708029197, 268.6131386861314]]",640,480,223.22508154556,204.42216183753078,310.731122834002,291.92820312597286,87.50604128844205,87.50604128844205,6014.0350601247355,7657.307261974524,0.02492613041007332,0.0,False
1-coins/100_1477154442.jpg::shape-0,1-coins/100_1477154442.jpg,1-coins/100_1477154442.json,0,100,circle,2,"[[99.39416058394158, 89.51094890510949], [119.83211678832114, 50.824817518248175]]",640,480,55.64113993972054,45.75792826088844,143.14718122816262,133.26396954933054,87.50604128844209,87.50604128844209,6014.035060124741,7657.307261974532,0.024926130410073345,0.0,False
1-coins/100_1477154448.jpg::shape-0,1-coins/100_1477154448.jpg,1-coins/100_1477154448.json,0,100,circle,2,"[[382.7246376811594, 80.15942028985506], [380.5507246376811, 120.7391304347826]]",640,480,342.08673944113053,39.52152204982622,423.3625359211882,120.79731852988391,81.27579648005769,81.27579648005769,5188.147918262917,6605.755093467758,0.02150310902821536,0.0,False
1-coins/100_1477154454.jpg::shape-0,1-coins/100_1477154454.jpg,1-coins/100_1477154454.json,0,100,circle,2,"[[483.6546762589927, 243.16546762589925], [446.96402877697835, 262.58992805755395]]",640,480,442.1394588597021,201.6502502266086,525.1698936582834,284.6806850251899,83.0304347985813,83.0304347985813,5414.576645336162,6894.05310284146,0.022441579110812043,0.0,False
1-coins/100_1477154460.jpg::shape-0,1-coins/100_1477154460.jpg,1-coins/100_1477154460.json,0,100,circle,2,"[[365.96153846153845, 384.6153846153846], [400.0961538461538, 361.53846153846155]]",640,480,324.75818488256573,343.41203103641186,407.1648920405112,425.8187381943573,82.4067071579454,82.4067071579454,5333.533200956218,6790.86538461537,0.022105681590544823,0.0,False
1-coins/100_1477154466.jpg::shape-0,1-coins/100_1477154466.jpg,1-coins/100_1477154466.json,0,100,circle,2,"[[168.6440677966102, 404.89830508474574], [199.15254237288136, 371.0]]",640,480,123.03856255229255,359.29279984042813,214.24957304092783,450.50381032906336,91.21101048863527,91.21101048863527,6534.079520824497,8319.448434357933,0.027081537872258896,0.0,False
1-coins/100_1477154472.jpg::shape-0,1-coins/100_1477154472.jpg,1-coins/100_1477154472.json,0,100,circle,2,"[[44.37984496124031, 282.94573643410854], [88.5658914728682, 272.86821705426354]]",640,480,-0.9408247511425287,237.62506672172572,89.70051467362315,328.26640614649136,90.64133942476568,90.64133942476568,6452.715395691312,8215.85241271558,0.026744311239308528,0.0,True
1-coins/100_1477154478.jpg::shape-0,1-coins/100_1477154478.jpg,1-coins/100_1477154478.json,0,100,circle,2,"[[317.46762589928056, 233.0935251798561], [360.63309352517985, 234.5323741007194]]",640,480,274.27818411567296,189.90408339624852,360.65706768288817,276.2829669634637,86.37888356721517,86.37888356721517,5860.100369306773,7461.311526318515,0.02428812345806808,0.0,False
1-coins/100_1477154484.jpg::shape-0,1-coins/100_1477154484.jpg,1-coins/100_1477154484.json,0,100,circle,2,"[[481.19047619047615, 143.33333333333331], [510.71428571428567, 116.1904761904762]]",640,480,441.0857380330497,103.22859517590689,521.2952143479026,183.43807149075974,80.20947631485285,80.20947631485285,5052.90627934521,6433.56009070294,0.020942578420256968,0.0,False
1-coins/100_1477154490.jpg::shape-0,1-coins/100_1477154490.jpg,1-coins/100_1477154490.json,0,100,circle,2,"[[381.87591240875906, 62.50364963503648], [422.7518248175182, 65.42335766423358]]",640,480,340.89585737921686,21.523594605494296,422.85596743830126,103.48370466457867,81.96011005908437,81.96011005908437,5275.880464657162,6717.459640897223,0.02186673060187898,0.0,False
1-coins/100_1477154496.jpg::shape-0,1-coins/100_1477154496.jpg,1-coins/100_1477154496.json,0,100,circle,2,"[[231.86274509803923, 344.11764705882354], [267.156862745098, 370.09803921568624]]",640,480,188.0374611045635,300.2923630653478,275.688029091515,387.9429310522993,87.65056798695144,87.65056798695144,6033.91726262571,7682.622068435197,0.025008535379020824,0.0,False
