name,labels,real_count
100_1477154934,100,1
100_1477194726,100,1
100_1477194840,100,1
100_1477194846,100,1
100_1477195062,100,1
100_1477195068,100,1
100_1477195152,100,1
100_1477279902,100,1
100_1477281342,100,1
100_1477281702,100,1
10_1477147680,10,1
10_1477149018,10,1
10_1477185414,10,1
10_1477186344,10,1
10_1477186680,10,1
10_1477186872,10,1
10_1477187238,10,1
10_1477287960,10,1
10_1477288230,10,1
10_1477288452,10,1
10_1477288620,10,1
10_1477288818,10,1
10_1477289028,10,1
10_1477289316,10,1
10_1477289394,10,1
10_1477289640,"10,finger,finger,finger,finger",1
10_1477787706,"5,5",2
10_1477788054,"5,5",2
110_1479347454,"25,25,25,5,5,5,10,10",8
120_1479351576,"5,5,5,10,10,10,10,10,10,10,10,25",12
125_1479424530,"25,50,50",3
125_1479424824,"100,10,10,5",4
130_1477861932,"25,25,5,10,10,10,10,5,10,5,5,10",12
130_1477862496,"100,10,10,10",4
130_1477862928,"100,25,5",3
135_1479425910,"10,10,10,100,5",5
135_1479425994,"100,5,10,10,10",5
150_1477864524,"100,10,10,10,10,10",6
150_1479429786,"25,25,25,25,25,25",6
15_1477788198,"5,5,5",3
20_1477788648,"5,5,10",3
25_1477149234,25,1
25_1477149264,25,1
25_1477149540,25,1
25_1477149552,25,1
25_1477153938,25,1
25_1477154160,25,1
25_1477191444,25,1
25_1477191822,25,1
25_1477191930,25,1
25_1477192050,25,1
25_1477192098,25,1
25_1477285272,25,1
25_1477286088,25,1
25_1477287084,25,1
25_1477287240,25,1
35_1477789932,"5,10,5,10,5",5
45_1477835556,"5,5,10,25",4
45_1477837002,"10,10,10,10,5",5
50_1477144650,50,1
50_1477144668,50,1
50_1477192782,50,1
50_1477192866,50,1
50_1477192920,50,1
50_1477193142,50,1
50_1477193280,50,1
50_1477193592,50,1
50_1477193862,50,1
50_1477193868,50,1
50_1477194354,50,1
50_1477282296,50,1
50_1477282482,50,1
50_1477282950,50,1
50_1477283502,50,1
55_1477839216,"5,5,5,5,10,25",6
55_1477842420,"10,5,10,10,10,10",6
5_1477147104,5,1
5_1477188570,5,1
5_1477189122,5,1
5_1477189272,5,1
5_1477289850,5,1
5_1477289970,5,1
5_1477290318,5,1
5_1477290336,5,1
5_1477290654,5,1
5_1477290918,5,1
5_1477291068,5,1
5_1477291284,5,1
5_1477291932,5,1
65_1477846296,"5,10,5,10,10,25",6
70_1477846866,"10,10,10,10,25,5",6
70_1477849236,"50,5,5,10",4
70_1477849284,"5,5,10,50",4
80_1477850904,"25,10,10,10,5,5,5,5,5",9
80_1477850922,"10,10,10,5,5,5,5,5,25",9
80_1477851084,"5,5,5,5,10,25,25",7
80_1477851738,"25,25,10,10,10",5
85_1477852902,"25,25,5,5,5,10,10",7
90_1477855650,"25,25,5,5,5,25",6
90_1477855704,"25,25,5,5,5,5,10,10",8
